,LEMMA,COMPOUND,CATEGORIZATION,MEANING,ETYMOLOGY,OCCURRENCE,CASE/GENDER/NUMBER,HEADEDNESS,CLASSIFICATION,NOTES,Unnamed: 10,Unnamed: 11,Unnamed: 12,HEADEDNESS COMMENTS,SKR CLASSIFICATION,SKR MAIN CLASSIFICATION,MAIN CLASSIFICATION,POS,STRUCTURE,Prefix,First Element,Linking Vowel,Second Element,Suffix
18,ἀγάρροος,"ἀγάρροος, -ον",A [Adv+N+Suf],‘strong-flowing’,"adv./adj. root ἀγα- (ἄγαν) ‘very much’ +verbal root ρρο- ( ῥέω,ῥόος) ‘flow ’ + adj. suf. -ος, -ον","Il. II, 845; XII, 30","nom. m. sg., acc. m. sg.,",exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[Adv+N+Suf],,adv./adj. root ἀγα- (ἄγαν) ‘very much’ ,,"verbal root ρρο- ( ῥέω,ῥόος) ‘flow ’ ","adj. suf. -ος, -ον"
19,ἀγάστονος,"ἀγάστονος, -ον",A [Adv+V+Suf],‘much groaning’,"adv./adj. root ἀγα- (ἄγαν) ‘very much’ + verbal root στον- (στένω) ‘moan, sigh, groan’ + adj. suf. -ος, -ον","Od. XII, 97",nom. f. (target gender) sg.,exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[Adv+V+Suf],,adv./adj. root ἀγα- (ἄγαν) ‘very much’ ,,"verbal root στον- (στένω) ‘moan, sigh, groan’ ","adj. suf. -ος, -ον"
20,Ἀγάστροφος,"Ἀγάστροφος, -ου",N [Adv+V+Suf],‘Agastrophus’,adv./adj. rootἀγα- (ἄγαν) ‘very much’ + verbal rootστροφ- (στρέφω) ‘turn about or aside‘ + noun suf. -ος,"Il. XI, 338, 373","gen. m. sg., acc. sg.",exocentric,determinative -karmadhāraya,,,,,,,,determinative,N,[Adv+V+Suf],,adv./adj. rootἀγα- (ἄγαν) ‘very much’ ,,verbal rootστροφ- (στρέφω) ‘turn about or aside‘ ,noun suf. -ος
21,Ἀγέλαος,"Ἀγέλαος, -ου",N [V+N],‘Agelaus’,verbal root,"Il. VIII, 257; Il. XI, 302; Od. XX, 321, 339; XXII, 131, 136, 212, 241, 247","nom. m. sg., acc. sg., voc. sg.",exocentric,subordinate (V-argument),nom. sg. sometimes endsin -εως,prob.linking element -ε-,,,,tatpuruṣa (V-governing),tatpuruṣa,subordinate,N,[V+N],,verbal root ,,,
22,ἀγελείη,"ἀγελείη, -ης",N/A [V+N+Suf],"‘driver of spoil, the foranger’","verbal root ἀγ- (ἄγω) ‘lead, carry, bring’+ -ε- + noun root λει- (λεία, -A) ‘booty’+ noun suf. (Ion.) -η, -ης","Il. VI, 279; XV, 213; Od. XIII, 359","nom. f. sg., gen. sg.",exocentric,subordinate (V-argument),linking element -ε-,epith. of Athena,,,,tatpuruṣa (V-governing),tatpuruṣa,subordinate,,[V+N+Suf],,"verbal root ἀγ- (ἄγω) ‘lead, carry, bring’ ",,"noun root λει- (λεία, -A) ‘booty’ ","noun suf. (Ion.) -η, -ης"
23,ἀγέραστος,"ἀγέραστος, -ον",A [A+N+Suf],"‘without a gift of honour, unrecompensed’","ἀ- privativum + γέρας, -ος ‘gift of honour’ +adj. suf.-τος, -τον","Il. I, 119",nom. m. sg.,exocentric,attributive,ἀ- privativum is not a free word in Greek,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[A+N+Suf],ἀ- privativum,,,"+γέρας, -ος ‘gift of honour’","adj. suf.-τος, -τον"
24,ἀγέρωχος,"ἀγέρωχος, -ον",A [A+N+V+Suf],"‘high-minded, lordly’","ἀ- copulativum+ noun root γερ- (γέρας) ‘gift of honour, privilege’ +verbal root ὀχ- (ἔχ-ω) ‘have, hold’ + adj. suf. -ος, -ον","Il. II, 654; III, 36; V, 623; VII, 343; X, 430; XVI, 708; XXI, 584; Od. XI, 286","acc. m. sg., nom. m. pl., gen. m. pl.,",exocentric,subordinate (argument-V),incertain etymology,ἀ- copulativum is not a free word in Greek,lengtheningο&gt,ω in compounding,,tatpuruṣa (V-governing),tatpuruṣa,subordinate,A,[A+N+V+Suf],ἀ- copulativum,"noun root γερ- (γέρας) ‘gift of honour, privilege’ ",,"verbal root ὀχ- (ἔχ-ω) ‘have, hold’ ","adj. suf. -ος, -ον"
25,ἀγηνορία,"ἀγηνορία, -A",N derived from ἀγήνωρ,"‘manliness, courage’",,"Il. IX, 700; XII, 46; XXII, 457","nom. f. sg., gen. sg., dat. pl.",,,s. ἀγήνωρ,,,,,,,,N,derived,,,,,
26,Ἀγήνωρ,"Ἀγήνωρ, -ορος",N [V+N+Suf],‘Agenor’,"verbal root ἀγ- (ἄγω) ‘lead, carry’ + noun root ἠνορ- (ἀνήρ, ἀνδρός) ‘man’ + noun suf.-ωρ","Il. XI, 59; XII, 93; XIII, 598; XIV, 425; XX, 474; XXI, 545, 579, 595, 600","nom. m. sg., gen. sg., dat. sg.,acc. sg.,",exocentric,subordinate (V-argument),ἄγω,the second member is not a free word in Greek,s.ἀγήνωρ,,,tatpuruṣa (V-governing) ifἀγ- &lt,tatpuruṣa,subordinate,N,[V+N+Suf],,"verbal root ἀγ- (ἄγω) ‘lead, carry’ ",,"noun root ἠνορ- (ἀνήρ, ἀνδρός) ‘man’ ",noun suf.-ωρ
27,ἀγήνωρ,"ἀγήνωρ, -ορος",N/A [V+N+Suf],"‘manly, heroic, headstrong, arrogant’","verbal root ἀγ- (ἄγω) ‘lead‘ + noun root *ηνορ- (ἀνήρ, ἀνδρός) ‘man’ + noun/adj. suf.-ωρ","Il. II, 276; IX, 699; X, 220; 244; 299, 319; XII, 93 (as N), 300; XIII, 490 (as N); XX, 174, 406; XXI 443; XXIV, 92; Od. I, 106, 144; II, 103, 235, 299; IX, 213 (as A); X, 406, 466, 475, 550; XI, 562; XII, 28 (as A), 324, 414; XIV, 219; XVII, 65 (as A), 79 (as A), 105 (as A); XX, 160, 284, 292; XXI, 68; XXIII, 8 (as A); XXIV, 138 (as A)","nom. m.sg., dat. m. sg., acc. m.sg., nom. m. pl., acc. m. pl., voc. m. pl.",exocentric,subordinate (V-argument),lengthening of A &gt,η in compounding. The second member is not a free word in Greek. S.,,,,tatpuruṣa(V-governing),tatpuruṣa(V-governing),subordinate,,[V+N+Suf],,verbal root ἀγ- (ἄγω) ‘lead‘ ,,"noun root *ηνορ- (ἀνήρ, ἀνδρός) ‘man’ ",noun/adj. suf.-ωρ
28,ἀγήρως,"ἀγήρως, -ων",A [A+N+Suf],"‘ageless, undecaying’","ἀ-privativum + noun stem γηρα- (γῆρας) ‘old age’ + adj. suf. -ος, -ον (-A-ος &gt; -ως)","Il. VIII, 539; XII, 323; Od. V, 136, 218; VII, 257; XXIII, 336","nom. m. sg., acc. m. sg., nom. m. du.",exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[A+N+Suf],ἀ-privativum,noun stem γηρα- (γῆρας) ‘old age’ ,,,"adj. suf. -ος, -ον (-A-ος &gt; -ως)"
29,ἀγκυλομήτης,"ἀγκυλομήτης, -ου",N [A+N+Suf],‘crooked of counsel’,"adj. stem ἀγκυλο- (ἀγκύλος, -η, -ον) ‘crooked’ +noun root μήτ- (μῆτις) ‘counsel’ + noun suf. -ης, -ου","Il. II, 205, 319; IV, 59; IX, 37; XII, 450; XVI, 431; XVIII, 293; Od. XXI, 415","nom. m. sg, gen. m. sg.,",exocentric,attributive,epith. of Cronos,,,,,bahuvrῑhi,bahuvrῑhi,attributive,N,[A+N+Suf],,"adj. stem ἀγκυλο- (ἀγκύλος, -η, -ον) ‘crooked’ ",,noun root μήτ- (μῆτις) ‘counsel’ ,"noun suf. -ης, -ου"
30,ἀγκυλότοξος,"ἀγκυλότοξος, –ον",A [A+N+Suf],‘with crooked bow’,"adj. stemἀγκύλο- (ἀγκύλος, –η, –ον) ‘crooked, curved’ + noun root τοξ- (τόξον) ‘bow’ + adj. suf.-ος, -ον","Il. II, 848; X, 428","nom. m. pl., acc. m. pl.",exocentric,attributive,epith. of Paeon people,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[A+N+Suf],,"adj. stemἀγκύλο- (ἀγκύλος, –η, –ον) ‘crooked, curved’ ",,noun root τοξ- (τόξον) ‘bow’ ,"adj. suf.-ος, -ον"
31,ἀγκυλοχείλης,"ἀγκυλοχείλης, -ου",A [A+N+Suf],‘with hooked beak’,"adj. stem ἀγκυλο- (ἀγκύλος, -η, -ον) ‘crooked, curved’ + noun root χείλ- (χεῖλος, -εος) ‘lip, beak’ + suf. -ης, -ου","Il. XVI, 428; Od. XIX, 538; XXII, 302","nom. m. sg., nom. m. pl.",exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[A+N+Suf],,"adj. stem ἀγκυλο- (ἀγκύλος, -η, -ον) ‘crooked, curved’ ",,"noun root χείλ- (χεῖλος, -εος) ‘lip, beak’ ","suf. -ης, -ου"
32,ἀγλαόκαρπος,"ἀγλαόκαρπος, -ον",A [A+N+Suf],‘bearing beautiful’,"adj. stemἀγλαο- (ἀγλαός, ή, όν, also ός, όν) ‘splendid, shining, bright’ +καρπός,ου, ὁ‘fruit’ +adj. suf.-ος, -ον","Od. VII, 115; XI,589",nom. m. pl.,exocentric,attributive,epith. of trees,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[A+N+Suf],,"adj. stemἀγλαο- (ἀγλαός, ή, όν, also ός, όν) ‘splendid, shining, bright’ ",,"+καρπός,ου, ὁ‘fruit’","adj. suf.-ος, -ον"
33,ἀγνώς,"ἀγνώς, -γνῶτος",A [A+V+Suf],‘unknown’,"ἀ- privativum+ verbal root γνω-‘know’ + adj. suf. -ώς, -ῶτος","Od. V, 79",nom. m. pl.,exocentric,determinative,ἀ- privativum is not a free word in Greek,,,,,karmadhāraya,karmadhāraya,determinative,A,[A+V+Suf],ἀ- privativum,verbal root γνω-‘know’ ,,,"adj. suf. -ώς, -ῶτος"
34,ἄγνωστος,"ἄγνωστος, -ον",A [A+A],"‘unknown, unknowable’","ἀ- privativum + γνωστός, (-ή,) -όν (=γνωτός, -ή, -όν) ‘known, perceived’","Od. II, 175; XIII, 191, 397",acc. m. sg.,endocentric,determinative,accent shift in compounding,ἀ- privativum is not a free word in Greek,,,(right-headed),karmadhāraya,karmadhāraya,determinative,A,[A+A],ἀ- privativum,,,,"γνωστός, (-ή,) -όν (=γνωτός, -ή, -όν) ‘known, perceived’"
35,ἄγραυλος,"ἄγραυλος, –ον",A [N+N+Suf],‘dwelling in the field’,"noun root ἀγρ-(ἀγρός)‘field’ + noun root A- (A) ‘open court, courtyard;generally, court, hall;any dwelling, abode‘ + adj. suf. -ος, -ον","Il. X, 155; XVII, 521; XVIII, 162; XXIII, 684, 780; Od. X, 410, XII, 253","gen. m. sg., nom. m. pl., nom. f. (target gender) pl.",exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[N+N+Suf],,noun root ἀγρ-(ἀγρός)‘field’ ,,"noun root A- (A) ‘open court, courtyard;generally, court, hall;any dwelling, abode‘ ","adj. suf. -ος, -ον"
36,ἀγριόφωνος,"ἀγριόφωνος, –ον",A [A+N+Suf],‘with rough voice or tongue‘,"adj. stem ἀγριο- (ἄγριος, –A, –ον) ‘living in the fields, wild, savage‘ + noun root φων- (φωνή)‘sound, tone, prop., the sound of the voice‘ + adj. suf. -ος, -ον","Od. VIII, 294",acc. m. pl.,exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[A+N+Suf],,"adj. stem ἀγριο- (ἄγριος, –A, –ον) ‘living in the fields, wild, savage‘ ",,"noun root φων- (φωνή)‘sound, tone, prop., the sound of the voice‘ ","adj. suf. -ος, -ον"
37,ἀγχέμαχος,"ἀγχέμαχος, -ον",A [P+V+Suf],‘fighting hand to hand’,"ἀγχε- (=ἄγχι, with -ε- after τηλέμαχος) ‘near’ + verbal root μαχ- (μάχομαι) ‘fight’+ adj. suf. -ος, -ον","Il. XIII, 5; XVI, 272; XVII, 165",nom. m. pl.,gen.,exocentric,determinative –karmadhāraya,the second member is not a free word in Greek. S.ἀγχιμαχητής,,,m. pl.,,,exocentric,A,[P+V+Suf],"ἀγχε- (=ἄγχι, with -ε- after τηλέμαχος) ‘near’",verbal root μαχ- (μάχομαι) ‘fight’ ,,,"adj. suf. -ος, -ον"
38,Ἀγχίαλος,"Ἀγχίαλος, -ου",N [P+N+Suf],‘Anchialus’,"ἀγχι ‘near’ + noun root ἁλ- (ἅλς, ἁλός) ‘sea’ + noun suf. -ος, -ου","Od. I, 180, 418; VIII, 112","nom. m. sg., gen. sg.",exocentric,subordinate (P-argument),,,,,,tatpuruṣa (P-governing),tatpuruṣa,subordinate,N,[P+N+Suf],ἀγχι ‘near’,"noun root ἁλ- (ἅλς, ἁλός) ‘sea’ ",,,"noun suf. -ος, -ου"
39,ἀγχιβαθής,"ἀγχιβαθής, -ές",A [Adv+N+Suf],‘deep inshore’,"ἀγχι- (ἄγχι) ‘near’ + noun stemβαθ-ες (βάθος, -εος) ‘depthorheight’ + adj. suf. -ής, -ές","Od. V, 413",,exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[Adv+N+Suf],ἀγχι- (ἄγχι) ‘near’,"noun stemβαθ-ες (βάθος, -εος) ‘depthorheight’ ",,,"adj. suf. -ής, -ές"
40,ἀγχίθεος,"ἀγχίθεος, -ον",A [P+N+Suf],"‘near the gods, godlike’","ἀγχι- (ἄγχι) ‘near’ + θε-ός ‘god’ + adj. suf.-ος, -ον","Od. V, 35; XIX, 279",nom. m. pl.,exocentric,subordinate (P-argument),,,,,,tatpuruṣa (P-governing),tatpuruṣa,subordinate,A,[P+N+Suf],ἀγχι- (ἄγχι) ‘near’,,,+θε-ός ‘god’,"adj. suf.-ος, -ον"
41,ἀγχιμαχητής,"ἀγχιμαχητής, -οῦ",N [Adv+V+Suf],‘fighting hand to hand’,ἀγχι- (ἄγχι)‘near’ + verbal root μαχ- (μάχομαι) ‘fight’ + suf. -ητής,"Il. II, 604; VIII, 173; XI, 286; XIII, 150; XV, 425, 486; XVI, 248; XVII, 184","nom. m. pl., dat. pl., voc. pl.",exocentric,determinative,s.ἀγχέμαχος,,,,,karmadhāraya,karmadhāraya,determinative,N,[Adv+V+Suf],ἀγχι- (ἄγχι)‘near’,verbal root μαχ- (μάχομαι) ‘fight’ ,,,suf. -ητής
42,ἀγχίμολος,"ἀγχίμολος, -ον",A [Adv+V+Suf],‘coming near’,"ἀγχι (ἄγχι) ‘near’ + verbal root μολ- (βλώσκω) ‘come’ + adj. suf.-ος, -ον","Il. IV, 529; XVI, 820; XXIV, 283, 352; Od. VIII, 300; XIV, 410; XV, 57, 95; XVII, 260, 336; XX, 173; XXII, 205; XXIV, 19, 99, 386, 439, 502","gen. n. sg. (adverbial), acc. n. sg. (adverbial)",exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[Adv+V+Suf],ἀγχι (ἄγχι) ‘near’,verbal root μολ- (βλώσκω) ‘come’ ,,,"adj. suf.-ος, -ον"
43,ἀγχίνοος,"ἀγχίνοος, -ον",A (P+N+Suf],"‘ready of wit, shrewd’","ἀγχι- (ἄγχι) ‘near’ + noun root νο- (νόος, ου) ‘mind’ + adj. suf. -ος, –ον","Od. XIII, 332",nom. m. sg.,exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,(P+N+Suf],ἀγχι- (ἄγχι) ‘near’,"noun root νο- (νόος, ου) ‘mind’ ",,,"adj. suf. -ος, –ον"
44,ἀγχιστῖνος,"ἀγχιστῖνος, -η, -ον",A [Adv+V+Suf],"‘close, crowded, in heaps’",ἀγχι- (ἄγχι) ‘near’ + verbal root στ- (&gt,ἵστημι) ‘to stand’ + -(ῖ)νος,"Il. V, 141; XVII, 361",nom.,exocentric,determinative –karmadhāraya,,,,"m. pl., nom. f. pl.",,,exocentric,A,[Adv+V+Suf],ἀγχι- (ἄγχι) ‘near’,verbal root στ- (&gt ,,,
